CodigoEstacion,NombreEstacion,Variable,Parametro,Fecha,Unidad,Valor,NivelAprobacion
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-01-07 00:00,m^3/s,227,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-01-08 00:00,m^3/s,224,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-01-09 00:00,m^3/s,223,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-01-10 00:00,m^3/s,220,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-01-11 00:00,m^3/s,219,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-01-12 00:00,m^3/s,226,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-01-13 00:00,m^3/s,215,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-01-14 00:00,m^3/s,204,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-01-15 00:00,m^3/s,197,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-01-16 00:00,m^3/s,187,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-01-17 00:00,m^3/s,179,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-01-18 00:00,m^3/s,178,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-01-19 00:00,m^3/s,180,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-01-20 00:00,m^3/s,178,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-01-21 00:00,m^3/s,187,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-01-22 00:00,m^3/s,251,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-01-23 00:00,m^3/s,280,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-01-24 00:00,m^3/s,263,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-01-25 00:00,m^3/s,223,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-01-26 00:00,m^3/s,208,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-01-27 00:00,m^3/s,191,Definitivo
35107030,CABUYARO [35107030],CAUDAL,Caudal medio diario,2000-01-28 00:00,m^3/s,181,Definitivo
